Date : 2025-09-20 18:57:44
Directory : t:\apps\contract-ai-core
Total : 529 files,  44888 codes, 834 comments, 13479 blanks, all 59201 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| t:\apps\contract-ai-core\dataset\gold\organizer\7d5c392742665caa8a00edcae499c346.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\7f99bda768395d25b2dcfe40e1115a37.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\7fc1ca3135555cd98794717a904fe5d2.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\804347c409985910bb29efdbfa56341b.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\804f0aac770b52fb9ae86514599df0f6.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\813e09a2c13f5d43a2ec8dcfb7e21c80.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\81bd69c83e4c5232a081ec0540950c94.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\81ea6a3e1a43549ca3f9d2521afacca3.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\824962e06d9c515f8888f975653e0ea1.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\82f14fcbe58c562fb7037872d3f43838.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\83061e641bb157ceac4a5346c1659b91.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\853c1b4d335b562da3bf244a9064f56e.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\856ab885a80d50b8908539c16aa2ad16.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\85ed9090a78a5070b06ec773ec51fe0a.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\86a3d37df6d85c5f9e2743b05272c6f4.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\8861fe7de9e15d13b5e4a39e96b3c178.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\88ef695e0ef754b29b58aa9085502093.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\89a7ad6b2ecc5f78b41865f81f3f62ef.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\8bfb98b266735a9da2cd65340376e7e4.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\8e8585cc0cc75b0486dcb4b0da116d20.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\8ea4b8fc2f375db1a0765c9ff3ac2134.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\92787237d51055e7b74e229fa9d1cce0.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\942befcb308b52ee91fb14ce21610af4.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\947ff687656c5cb190a76635369b778b.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\94c99f07e0ad56498a44d5a314ddd492.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\953a642cf56f50c0addeaaaf122bd332.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\95c71723d3c85e1ebc0fa5048df2c261.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\964c345e133d5b7195945c265f8d086c.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\964d74660be354a99bccf97bf108e52c.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\967d200c7518542b813316e81f391d47.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\96d57fd26efc55bf8c84e99d18b70106.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\97489313abb85203830b614bda4c1da5.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\97f47006838e50b099aae8fcab8b9aca.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\9883b51cc6c4595190c93af3c89db487.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\9bf746c2dd1c5a1cb7c1eab773dfca72.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\9c980cac35fd532baa24a3815c0ccb19.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\9ee6698d2d2e543cb5857d978b090ce6.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\9f041ef804325654bbac2eae8db1c7cc.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\a07bdd4a7ece5c86900ef38cae14c2ff.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\a10531d34dd151978068623d8c289641.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\a1cc0cc9592f556ab76c58a38d8d8036.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\a23fe1d48f4758f88e9353c65600937e.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\a285309b80e45dbeb097804febb56b64.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\a3064e27e4ca56e4adbfede0b43ebe6d.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\a3d3c63ab55d566e91e0e3ce6830d68e.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\a68440b7c9ea57c39f2756e432f5cbbf.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\a789626eebaf593a8e3614eed3da6a5d.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\a79ca3f14bcb5dcbad36485e16e4732c.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\a8fb40c94e6959f5ac8417410def168c.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\a957a2573ca25c5a913f0e96e32d0002.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\a9f2ae99a6325e05834d7a810fb10345.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\aafbb062cbae5c1797a48b64e207c7f6.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\adaa75e99476551c89efbc34730f9fa1.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\af602451f9e05f1f814d5abfb53bef5f.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\afbf6d5a5932562f85e1dee29f0ce0a8.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\afcac2745e2a5a4d9b09d867b76696b5.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\b01b15a1290b5517b5a492949e900ba0.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\b022e3b1a6ae53dd95ef2a31d27f8283.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\b36e1f0fa8fe5fa18c0f7060aea46c62.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\b399d7afd978506b80bdce2edb3484bc.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\b3a9dfdfb64a5be28e0fada558c51770.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\b6d1228204165092a66aecc7f9052d3b.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\b7718aa1614e5c7abc0c45a559406cc7.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\b83b7992ab475b49bc458191f1676119.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\b9243433ab1055ae905f9b76b581a0b3.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\b924569c79a75b3982d40fa85cec383a.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\bba53ec3402f549dbcb885634c35c760.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\bfd68f60558d5cb9a900ce355f4c9b1b.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\bff87a6d4f755c0998fd9d57a056dc6f.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\c16ad6c8a1e857b48e0152f695182502.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\c1e91e86c11e55f3bcaa6628b072cac4.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\c239f6f703cb5757a72b95d7460d49e1.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\c3ab627a5c6453a0ae781c7cb983389d.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\c41fbd30abb453fc88e52b64fb841c96.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\c4e33e8105f45152a79cb60b057f6f72.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\c530c856cfab537ca9797d4397828f44.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\c5ef841693d651229f98f0e474aded4b.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\c61aaa46b28f56ef9cc04a0cd2729510.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\c63339debc40579b94722792351d5e0b.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\c745847b449a5553a6d6f80dc28d7cdc.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\c84c5268bdee5180ba49892afa16b432.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\c8c864c684b2597ab50fb6efed20a0cc.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\cacf284e84835c80894ada76b5442550.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\cb3010e876d05baea32fab3636c3e847.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\cd3838f45dd45f72915f5dfee90990a3.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\cd962986ec2b587d95b5643f57014747.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\ce55ff67b6fc5cbb8579d511562bd5c2.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\cf03a7317a7450fc8dd7d38465363fe5.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\d0d183ecf4b0535681ba60403f1f6cba.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\d1693a73bba15778a8b71808782fe1f4.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\d256f19321de5d8c94dff90dce22d906.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\d2ba56b68f435226b6a2ce621af1c09f.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\d37ad1b2bd33521b9357b827e3550118.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\d53a4564761a5a7d9579a7c34cb30191.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\d5d57a2874405aa78fbceb91978aa63a.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\d63bb7aa4ec65a9ab3e04aa7059975ef.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\d795bd8578445a3c8c95c38f599e91c1.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\d94250d4eeb652308a1394b6cfd1bafa.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\d9d15bbf3127582f9d9fae56614149fe.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\d9ec3d49782551c8b5177897dce9a3f9.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\db89a40b5c635952b05fceb3053c178c.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\dbdeec18f71e54a599f97115cf83c189.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\dc4b0b0f9b7251988f99f9175591eba3.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\dc6d73fedbac5624a9aaf11685a05b04.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\dcb3a71349d35a5a97578e28be9054b2.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\dd1b3f5fe34b5a6c913dccb4a65393eb.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\dd870350a0e053948618b54f1026ac86.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\df05c9dd9f2f5c21ae75f777815a6b62.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\e0b1265a47db5365b0a7d4e8f7099d33.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\e175fffd5def50f0b842c0a23b74dce6.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\e2427fb2470e5a4abbe6071ba7c40acb.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\e4ac2a2ce57155cf841430b8a48a477f.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\e567e14abcf35041948da8fa7178e59f.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\e68da95871915ac5be3371cbabc604ff.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\e823b77ec78357da9461add4eae003c2.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\e9208e2b562852d68594841c03fc1e2d.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\ea243910f07e59068a83cca6cccec7af.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\ed200834edd15803a9485a07fb773e16.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\ed444a50dbf551cdba9793d128d06693.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\ed88b8b8750a56ccbfc0d8a696f01415.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\eec40f43082b5be7b8e4abd67439c312.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\f1ef558d82025d98a9342e70028dbe81.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\f3bb392f8a865d92bc537d1ce21f5b2d.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\f42531b34d1157e7a0ab60662d17bf4b.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\f649a6f4b9bd5b7dad774f75be633a44.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\f8d899c06aab5d53add0c799ec85f966.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\f9cc53ee2cfc5520a38593916864b771.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\fa7d4cf3ef53539285557025063f9d79.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\fa99d30bb3625bfa84995e303ef07610.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\fb19c4204c355742926f8e6cd348f7fe.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\fbe65b7a21a254b0b4db2986ccc787d9.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\fca7233ea8a65f26932112f6dccf4d83.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\fcc5761eafc15f889d9bb2d28a4098a7.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\fd6d2e764d4b514a8ed3f1af461e1e41.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\fda2ebf28fa8520c99b6cb5f7a88bb0f.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\fed689808614583db37db0d8aac2ff19.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\ff9cf40cbd2e5316b72f67a9ba07da2e.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\documentation\core_library.md                                              | Markdown         |         56 |          0 |         28 |         84 |
| t:\apps\contract-ai-core\documentation\dataset.md                                                   | Markdown         |         19 |          0 |          8 |         27 |
| t:\apps\contract-ai-core\documentation\index.md                                                     | Markdown         |         33 |          0 |         12 |         45 |
| t:\apps\contract-ai-core\documentation\tools.md                                                     | Markdown         |         30 |          0 |         15 |         45 |
| t:\apps\contract-ai-core\pyproject.toml                                                             | toml             |         68 |          0 |         10 |         78 |
| t:\apps\contract-ai-core\requirements.txt                                                           | pip requirements |         13 |          0 |          2 |         15 |
| t:\apps\contract-ai-core\src\contract_ai_core\__init__.py                                           | Python           |         52 |          7 |          2 |         61 |
| t:\apps\contract-ai-core\src\contract_ai_core\authoring.py                                          | Python           |        119 |         32 |         25 |        176 |
| t:\apps\contract-ai-core\src\contract_ai_core\classifier.py                                         | Python           |        231 |         49 |         39 |        319 |
| t:\apps\contract-ai-core\src\contract_ai_core\compare.py                                            | Python           |        406 |         37 |         48 |        491 |
| t:\apps\contract-ai-core\src\contract_ai_core\contract_agent.py                                     | Python           |        305 |         19 |         44 |        368 |
| t:\apps\contract-ai-core\src\contract_ai_core\extractor.py                                          | Python           |        464 |         50 |         51 |        565 |
| t:\apps\contract-ai-core\src\contract_ai_core\filter.py                                             | Python           |        198 |         34 |         39 |        271 |
| t:\apps\contract-ai-core\src\contract_ai_core\organizer.py                                          | Python           |        325 |         22 |         34 |        381 |
| t:\apps\contract-ai-core\src\contract_ai_core\reviewer.py                                           | Python           |        302 |         26 |         42 |        370 |
| t:\apps\contract-ai-core\src\contract_ai_core\reviser.py                                            | Python           |        303 |         39 |         51 |        393 |
| t:\apps\contract-ai-core\src\contract_ai_core\schema.py                                             | Python           |        382 |         54 |         81 |        517 |
| t:\apps\contract-ai-core\src\contract_ai_core\utilities.py                                          | Python           |        156 |         47 |         39 |        242 |
| t:\apps\contract-ai-core\tests\test_classifier_classify_paragraphs_with_usage.py                    | Python           |         45 |         10 |         13 |         68 |
| t:\apps\contract-ai-core\tests\test_classifier_prompt_parse.py                                      | Python           |         14 |          0 |          5 |         19 |
| t:\apps\contract-ai-core\tests\test_extractor_extract.py                                            | Python           |         78 |          8 |         14 |        100 |
| t:\apps\contract-ai-core\tests\test_extractor_type_mapping.py                                       | Python           |         34 |          8 |          7 |         49 |
| t:\apps\contract-ai-core\tests\test_imports.py                                                      | Python           |          6 |          0 |          2 |          8 |
| t:\apps\contract-ai-core\tests\test_reviser_change_application.py                                   | Python           |         60 |          4 |          6 |         70 |
| t:\apps\contract-ai-core\tests\test_reviser_generate_amended_and_restated.py                        | Python           |         96 |          9 |         12 |        117 |
| t:\apps\contract-ai-core\tests\test_schema_paragraphs.py                                            | Python           |         15 |          3 |          4 |         22 |
| t:\apps\contract-ai-core\tools\Home.py                                                              | Python           |         37 |          4 |         10 |         51 |
| t:\apps\contract-ai-core\tools\app.py                                                               | Python           |         41 |          9 |         13 |         63 |
| t:\apps\contract-ai-core\tools\pages\00_Migration.py                                                | Python           |        160 |         11 |         29 |        200 |
| t:\apps\contract-ai-core\tools\pages\10_Contract_types.py                                           | Python           |        217 |         18 |         28 |        263 |
| t:\apps\contract-ai-core\tools\pages\15_Contract_filter.py                                          | Python           |        273 |         14 |         41 |        328 |
| t:\apps\contract-ai-core\tools\pages\20_Contracts.py                                                | Python           |      1,377 |         57 |        112 |      1,546 |
| t:\apps\contract-ai-core\tools\pages\30_Amendments.py                                               | Python           |        334 |         14 |         47 |        395 |
| t:\apps\contract-ai-core\tools\pages\40_Authoring.py                                                | Python           |        294 |         10 |         41 |        345 |
| t:\apps\contract-ai-core\tools\pages\50_Metrics.py                                                  | Python           |        215 |         10 |         27 |        252 |
| t:\apps\contract-ai-core\tools\pages\60_Database_query.py                                           | Python           |          0 |          0 |          1 |          1 |
| t:\apps\contract-ai-core\tools\run_classification.py                                                | Python           |         76 |          1 |         18 |         95 |
| t:\apps\contract-ai-core\tools\run_classification_metrics.py                                        | Python           |        150 |         17 |         32 |        199 |
| t:\apps\contract-ai-core\tools\run_extraction.py                                                    | Python           |        142 |          4 |         20 |        166 |
| t:\apps\contract-ai-core\tools\run_extraction_metrics.py                                            | Python           |        318 |         57 |         64 |        439 |
| t:\apps\contract-ai-core\tools\run_filter.py                                                        | Python           |        112 |         16 |         25 |        153 |
| t:\apps\contract-ai-core\tools\run_filter_metrics.py                                                | Python           |        171 |         23 |         35 |        229 |
| t:\apps\contract-ai-core\tools\run_organizer.py                                                     | Python           |        110 |          6 |         15 |        131 |
| t:\apps\contract-ai-core\tools\run_organizer_metrics.py                                             | Python           |        204 |         14 |         32 |        250 |
| t:\apps\contract-ai-core\tools\run_reviewer.py                                                      | Python           |        164 |          3 |         19 |        186 |
| t:\apps\contract-ai-core\tools\run_reviser.py                                                       | Python           |        207 |         15 |         37 |        259 |
| t:\apps\contract-ai-core\tools\run_reviser_metrics.py                                               | Python           |        354 |         29 |         61 |        444 |
| t:\apps\contract-ai-core\tools\run_sample.py                                                        | Python           |        127 |         16 |         26 |        169 |
| t:\apps\contract-ai-core\tools\utilities.py                                                         | Python           |        383 |         19 |         67 |        469 |
| Total                                                                                               |                  |     44,888 |        834 |     13,479 |     59,201 |
+-----------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
